Date,Passengers,Passengers_Mean_Imputation,Passengers_Linear_Interpolation,boxcox_transform,boxcox_transform_diff_1
1949-01-01,112.0,112.0,112.0,4.718498871295094,
1949-02-01,118.0,118.0,118.0,4.770684624465665,0.05218575317057095
1949-03-01,132.0,132.0,132.0,4.882801922586371,0.11211729812070548
1949-04-01,129.0,129.0,129.0,4.859812404361672,-0.022989518224698635
1949-05-01,121.0,121.0,121.0,4.795790545596741,-0.0640218587649306
1949-06-01,135.0,135.0,135.0,4.90527477843843,0.10948423284168829
1949-07-01,148.0,148.0,148.0,4.997212273764115,0.09193749532568507
1949-08-01,148.0,148.0,148.0,4.997212273764115,0.0
1949-09-01,136.0,136.0,136.0,4.912654885736052,-0.08455738802806234
1949-10-01,119.0,119.0,119.0,4.77912349311153,-0.13353139262452274
1949-11-01,104.0,104.0,104.0,4.6443908991413725,-0.13473259397015713
1949-12-01,118.0,118.0,118.0,4.770684624465665,0.12629372532429262
1950-01-01,115.0,115.0,115.0,4.74493212836325,-0.025752496102414923
1950-02-01,126.0,126.0,126.0,4.836281906951478,0.09134977858822779
1950-03-01,141.0,141.0,141.0,4.948759890378168,0.11247798342669046
1950-04-01,135.0,135.0,135.0,4.90527477843843,-0.04348511193973881
1950-05-01,125.0,125.0,125.0,4.8283137373023015,-0.07696104113612812
1950-06-01,149.0,149.0,149.0,5.003946305945459,0.17563256864315768
1950-07-01,170.0,170.0,170.0,5.135798437050262,0.13185213110480287
1950-08-01,170.0,170.0,170.0,5.135798437050262,0.0
1950-09-01,158.0,158.0,158.0,5.062595033026967,-0.07320340402329517
1950-10-01,133.0,133.0,133.0,4.890349128221754,-0.17224590480521318
1950-11-01,114.0,114.0,114.0,4.736198448394496,-0.15415067982725805
1950-12-01,140.0,140.0,140.0,4.941642422609304,0.2054439742148082
1951-01-01,145.0,145.0,145.0,4.976733742420574,0.03509131981127034
1951-02-01,150.0,150.0,150.0,5.0106352940962555,0.03390155167568132
1951-03-01,178.0,178.0,178.0,5.181783550292085,0.17114825619582952
1951-04-01,163.0,163.0,163.0,5.093750200806762,-0.08803334948532271
1951-05-01,172.0,172.0,172.0,5.147494476813453,0.053744276006690406
1951-06-01,,280.73571428571427,181.0,5.198497031265826,0.05100255445237334
1951-07-01,,280.73571428571427,190.0,5.247024072160486,0.04852704089466009
1951-08-01,199.0,199.0,199.0,5.293304824724492,0.0462807525640061
1951-09-01,184.0,184.0,184.0,5.214935757608986,-0.0783690671155064
1951-10-01,162.0,162.0,162.0,5.087596335232384,-0.12733942237660223
1951-11-01,146.0,146.0,146.0,4.983606621708336,-0.10398971352404729
1951-12-01,166.0,166.0,166.0,5.111987788356544,0.1283811666482073
1952-01-01,171.0,171.0,171.0,5.14166355650266,0.02967576814611661
1952-02-01,180.0,180.0,180.0,5.19295685089021,0.05129329438755015
1952-03-01,193.0,193.0,193.0,5.262690188904886,0.06973333801467518
1952-04-01,181.0,181.0,181.0,5.198497031265826,-0.06419315763905953
1952-05-01,183.0,183.0,183.0,5.209486152841421,0.010989121575595284
1952-06-01,218.0,218.0,218.0,5.384495062789089,0.1750089099476675
1952-07-01,230.0,230.0,230.0,5.438079308923196,0.05358424613410673
1952-08-01,242.0,242.0,242.0,5.488937726156687,0.05085841723349116
1952-09-01,209.0,209.0,209.0,5.342334251964811,-0.1466034741918758
1952-10-01,191.0,191.0,191.0,5.25227342804663,-0.09006082391818104
1952-11-01,172.0,172.0,172.0,5.147494476813453,-0.10477895123317715
1952-12-01,194.0,194.0,194.0,5.267858159063328,0.12036368224987548
1953-01-01,196.0,196.0,196.0,5.278114659230517,0.010256500167188598
1953-02-01,196.0,196.0,196.0,5.278114659230517,0.0
1953-03-01,236.0,236.0,236.0,5.4638318050256105,0.18571714579509369
1953-04-01,235.0,235.0,235.0,5.459585514144159,-0.004246290881451564
1953-05-01,229.0,229.0,229.0,5.43372200355424,-0.02586351058991898
1953-06-01,243.0,243.0,243.0,5.493061443340548,0.05933943978630829
1953-07-01,264.0,264.0,264.0,5.575949103146316,0.08288765980576773
1953-08-01,272.0,272.0,272.0,5.605802066295998,0.029852963149681777
1953-09-01,237.0,237.0,237.0,5.4680601411351315,-0.13774192516086625
1953-10-01,211.0,211.0,211.0,5.351858133476067,-0.11620200765906485
1953-11-01,180.0,180.0,180.0,5.19295685089021,-0.15890128258585623
1953-12-01,201.0,201.0,201.0,5.303304908059076,0.11034805716886531
1954-01-01,204.0,204.0,204.0,5.318119993844216,0.014815085785140347
1954-02-01,188.0,188.0,188.0,5.236441962829949,-0.08167803101426685
1954-03-01,235.0,235.0,235.0,5.459585514144159,0.2231435513142097
1954-04-01,227.0,227.0,227.0,5.424950017481403,-0.034635496662756005
1954-05-01,234.0,234.0,234.0,5.455321115357702,0.03037109787629877
1954-06-01,,280.73571428571427,268.0,5.5909869805108565,0.13566586515315482
1954-07-01,302.0,302.0,302.0,5.71042701737487,0.11944003686401317
1954-08-01,293.0,293.0,293.0,5.680172609017068,-0.03025440835780202
1954-09-01,259.0,259.0,259.0,5.556828061699537,-0.1233445473175303
1954-10-01,229.0,229.0,229.0,5.43372200355424,-0.1231060581452974
1954-11-01,203.0,203.0,203.0,5.313205979041787,-0.1205160245124528
1954-12-01,229.0,229.0,229.0,5.43372200355424,0.1205160245124528
1955-01-01,242.0,242.0,242.0,5.488937726156687,0.05521572260244678
1955-02-01,233.0,233.0,233.0,5.4510384535657,-0.03789927259098658
1955-03-01,267.0,267.0,267.0,5.58724865840025,0.1362102048345495
1955-04-01,269.0,269.0,269.0,5.594711379601839,0.007462721201589417
1955-05-01,270.0,270.0,270.0,5.598421958998375,0.0037105793965359624
1955-06-01,315.0,315.0,315.0,5.752572638825633,0.15415067982725805
1955-07-01,364.0,364.0,364.0,5.8971538676367405,0.14458122881110747
1955-08-01,347.0,347.0,347.0,5.849324779946859,-0.047829087689881256
1955-09-01,312.0,312.0,312.0,5.7430031878094825,-0.1063215921373768
1955-10-01,274.0,274.0,274.0,5.6131281063880705,-0.12987508142141202
1955-11-01,237.0,237.0,237.0,5.4680601411351315,-0.14506796525293897
1955-12-01,278.0,278.0,278.0,5.627621113690637,0.1595609725555054
1956-01-01,284.0,284.0,284.0,5.648974238161206,0.021353124470569362
1956-02-01,277.0,277.0,277.0,5.6240175061873385,-0.02495673197386772
1956-03-01,317.0,317.0,317.0,5.75890177387728,0.13488426768994177
1956-04-01,313.0,313.0,313.0,5.746203190540153,-0.012698583337127367
1956-05-01,318.0,318.0,318.0,5.762051382780177,0.015848192240023984
1956-06-01,374.0,374.0,374.0,5.924255797414532,0.1622044146343553
1956-07-01,413.0,413.0,413.0,6.023447592961033,0.09919179554650093
1956-08-01,405.0,405.0,405.0,6.003887067106539,-0.019560525854494415
1956-09-01,355.0,355.0,355.0,5.872117789475416,-0.13176927763112278
1956-10-01,306.0,306.0,306.0,5.723585101952381,-0.14853268752303528
1956-11-01,271.0,271.0,271.0,5.602118820879701,-0.12146628107267965
1956-12-01,306.0,306.0,306.0,5.723585101952381,0.12146628107267965
1957-01-01,315.0,315.0,315.0,5.752572638825633,0.028987536873252395
1957-02-01,301.0,301.0,301.0,5.707110264748875,-0.04546237407675768
1957-03-01,356.0,356.0,356.0,5.87493073085203,0.16782046610315504
1957-04-01,348.0,348.0,348.0,5.8522024797744745,-0.02272825107755594
1957-05-01,355.0,355.0,355.0,5.872117789475416,0.019915309700941464
1957-06-01,422.0,422.0,422.0,6.045005314036012,0.17288752456059608
1957-07-01,465.0,465.0,465.0,6.142037405587356,0.09703209155134385
1957-08-01,467.0,467.0,467.0,6.1463292576688975,0.004291852081541592
1957-09-01,404.0,404.0,404.0,6.0014148779611505,-0.144914379707747
1957-10-01,347.0,347.0,347.0,5.849324779946859,-0.1520900980142912
1957-11-01,305.0,305.0,305.0,5.720311776607412,-0.12901300333944743
1957-12-01,336.0,336.0,336.0,5.817111159963204,0.0967993833557923
1958-01-01,340.0,340.0,340.0,5.8289456176102075,0.011834457647003305
1958-02-01,318.0,318.0,318.0,5.762051382780177,-0.06689423483003054
1958-03-01,362.0,362.0,362.0,5.8916442118257715,0.12959282904559455
1958-04-01,348.0,348.0,348.0,5.8522024797744745,-0.039441732051296974
1958-05-01,363.0,363.0,363.0,5.8944028342648505,0.04220035449037596
1958-06-01,435.0,435.0,435.0,6.075346031088684,0.18094319682383375
1958-07-01,491.0,491.0,491.0,6.19644412779452,0.12109809670583616
1958-08-01,505.0,505.0,505.0,6.22455842927536,0.02811430148083982
1958-09-01,404.0,404.0,404.0,6.0014148779611505,-0.2231435513142097
1958-10-01,359.0,359.0,359.0,5.883322388488279,-0.11809248947287188
1958-11-01,310.0,310.0,310.0,5.736572297479192,-0.14675009100908643
1958-12-01,337.0,337.0,337.0,5.820082930352362,0.0835106328731694
1959-01-01,360.0,360.0,360.0,5.886104031450156,0.06602110109779424
1959-02-01,342.0,342.0,342.0,5.834810737062605,-0.051293294387551036
1959-03-01,406.0,406.0,406.0,6.0063531596017325,0.17154242253912777
1959-04-01,396.0,396.0,396.0,5.981414211254481,-0.024938948347251966
1959-05-01,420.0,420.0,420.0,6.040254711277414,0.058840500022933284
1959-06-01,472.0,472.0,472.0,6.156978985585555,0.11672427430814114
1959-07-01,548.0,548.0,548.0,6.306275286948016,0.14929630136246086
1959-08-01,559.0,559.0,559.0,6.326149473155099,0.019874186207083255
1959-09-01,463.0,463.0,463.0,6.137727054086234,-0.18842241906886503
1959-10-01,407.0,407.0,407.0,6.008813185442595,-0.12891386864363952
1959-11-01,362.0,362.0,362.0,5.8916442118257715,-0.1171689736168231
1959-12-01,405.0,405.0,405.0,6.003887067106539,0.11224285528076727
1960-01-01,417.0,417.0,417.0,6.0330862217988015,0.029199154692262752
1960-02-01,391.0,391.0,391.0,5.968707559985366,-0.06437866181343566
1960-03-01,,280.73571428571427,426.0,6.054439346269371,0.08573178628400502
1960-04-01,461.0,461.0,461.0,6.133398042996649,0.07895869672727773
1960-05-01,472.0,472.0,472.0,6.156978985585555,0.023580942588906417
1960-06-01,535.0,535.0,535.0,6.282266746896006,0.12528776131045127
1960-07-01,622.0,622.0,622.0,6.432940092739179,0.15067334584317305
1960-08-01,606.0,606.0,606.0,6.406879986069314,-0.026060106669865135
1960-09-01,508.0,508.0,508.0,6.230481447578482,-0.1763985384908322
1960-10-01,461.0,461.0,461.0,6.133398042996649,-0.0970834045818334
1960-11-01,390.0,390.0,390.0,5.966146739123692,-0.1672513038729564
1960-12-01,432.0,432.0,432.0,6.068425588244111,0.10227884912041851
